price,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
29200000,1587,3,3,1,2,2,18399.4959
120000000,1700,2,3,1,1,2,70588.23529
31500000,960,2,2,1,1,1,32812.5
60000000,2600,4,6,1,3,4,23076.92308
100000000,2000,3,3,1,1,1,50000
62500000,1800,3,4,1,2,2,34722.22222
40000000,1250,2,2,1,1,5,32000
27200000,1315,3,3,1,1,3,20684.41065
16500000,1010,2,2,1,1,1,16336.63366
65000000,1500,2,3,2,2,2,43333.33333
25000000,1350,3,3,1,1,1,18518.51852
16500000,1200,3,2,3,1,2,13750
52500000,1585,4,5,3,1,1,33123.02839
75000000,3300,3,4,4,2,4,22727.27273
13200000,700,2,2,1,1,4,18857.14286
33900000,960,2,2,1,1,4,35312.5
21500000,1125,2,2,1,1,3,19111.11111
14000000,750,2,2,1,1,1,18666.66667
22500000,781,3,2,2,1,6,28809.21895
20000000,1245,2,2,1,1,4,16064.25703
20000000,1100,2,2,1,1,1,18181.81818
41500000,1356,4,3,1,2,1,30604.71976
39000000,1500,3,3,2,1,3,26000
20000000,1000,2,2,1,1,1,20000
17500000,1250,2,2,3,1,3,14000
20800000,809,2,2,2,1,3,25710.75402
90000000,2653,3,3,3,1,1,33923.85978
16400000,1000,2,2,1,1,1,16400
24000000,1241,3,3,1,1,1,19339.24255
17500000,980,2,2,1,1,0,17857.14286
38000000,1448,2,2,1,1,2,26243.09392
12000000,750,2,2,1,1,1,16000
265000000,3000,4,5,3,1,1,88333.33333
14200000,990,2,2,1,1,2,14343.43434
55000000,1450,3,3,2,2,2,37931.03448
75000000,3100,3,3,3,2,2,24193.54839
19000000,1275,3,3,1,1,2,14901.96078
19000000,800,2,2,1,1,1,23750
17500000,915,2,2,1,1,2,19125.68306
30000000,812,2,2,1,1,1,36945.81281
29000000,1568,3,3,1,2,4,18494.89796
31500000,1006,3,3,1,1,1,31312.12724
17500000,750,2,2,2,1,1,23333.33333
15000000,1688,3,3,1,1,2,8886.255924
14900000,1150,2,2,1,1,2,12956.52174
18000000,900,2,2,3,1,1,20000
9500000,600,2,2,1,1,1,15833.33333
35000000,1417,3,3,4,2,3,24700.07057
29000000,1600,3,3,1,1,1,18125
16000000,620,2,2,1,1,1,25806.45161
22500000,700,3,2,1,2,1,32142.85714
32000000,780,2,3,1,1,4,41025.64103
22500000,900,2,2,1,1,1,25000
39900000,2014,3,3,1,2,2,19811.32075
21000000,1260,3,2,1,1,2,16666.66667
31000000,1500,3,4,1,3,2,20666.66667
18700000,1100,3,3,1,1,1,17000
18000000,2250,3,3,1,1,1,8000
18500000,1275,3,3,1,1,1,14509.80392
16000000,1200,3,2,1,1,1,13333.33333
16500000,1050,2,2,1,1,3,15714.28571
45000000,800,3,4,1,2,1,56250
19000000,900,2,2,1,1,1,21111.11111
18000000,940,2,2,1,1,0,19148.93617
60000000,2350,4,4,1,2,1,25531.91489
50000000,1820,2,3,1,1,1,27472.52747
60000000,3000,5,5,1,1,1,20000
100000000,2000,5,2,2,1,1,50000
15000000,800,2,2,1,1,2,18750
120000000,3600,8,8,1,8,1,33333.33333
19000000,1100,2,2,1,1,1,17272.72727
14500000,1100,2,2,1,2,1,13181.81818
31000000,1240,3,3,1,1,2,25000
22500000,900,2,2,1,1,1,25000
21600000,1200,2,2,1,1,1,18000
4600000,875,2,2,1,1,1,5257.142857
7100000,1100,2,2,2,1,1,6454.545455
53000000,1800,4,5,3,2,1,29444.44444
4500000,865,2,2,3,1,1,5202.312139
18000000,735,2,2,1,1,1,24489.79592
30000000,905,2,2,1,1,1,33149.17127
22500000,855,2,2,1,1,2,26315.78947
27500000,792,3,3,1,1,1,34722.22222
10000000,2000,3,3,2,1,1,5000
68000000,2090,3,4,2,2,1,32535.88517
16000000,720,2,2,1,1,1,22222.22222
